Caso,Tamanho,Execucao,Tempo
Melhor,1000,1,0.000000000
Melhor,1000,2,0.001000000
Melhor,1000,3,0.000000000
Melhor,1000,4,0.000000000
Melhor,1000,5,0.000000000
Melhor,1000,6,0.000000000
Melhor,1000,7,0.000000000
Melhor,1000,8,0.000000000
Melhor,1000,9,0.000000000
Melhor,1000,10,0.000000000
Melhor,1000,11,0.000000000
Melhor,1000,12,0.000000000
Melhor,1000,13,0.000000000
Melhor,1000,14,0.000000000
Melhor,1000,15,0.000000000
Caso medio,1000,1,0.000000000
Caso medio,1000,2,0.000000000
Caso medio,1000,3,0.000000000
Caso medio,1000,4,0.000000000
Caso medio,1000,5,0.001000000
Caso medio,1000,6,0.000000000
Caso medio,1000,7,0.000000000
Caso medio,1000,8,0.000000000
Caso medio,1000,9,0.000000000
Caso medio,1000,10,0.000000000
Caso medio,1000,11,0.000000000
Caso medio,1000,12,0.000000000
Caso medio,1000,13,0.000000000
Caso medio,1000,14,0.000000000
Caso medio,1000,15,0.000000000
Pior,1000,1,0.000000000
Pior,1000,2,0.000000000
Pior,1000,3,0.001000000
Pior,1000,4,0.000000000
Pior,1000,5,0.000000000
Pior,1000,6,0.000000000
Pior,1000,7,0.000000000
Pior,1000,8,0.000000000
Pior,1000,9,0.000000000
Pior,1000,10,0.000000000
Pior,1000,11,0.000000000
Pior,1000,12,0.000000000
Pior,1000,13,0.000000000
Pior,1000,14,0.000000000
Pior,1000,15,0.000000000
Melhor,10000,1,0.001000000
Melhor,10000,2,0.000000000
Melhor,10000,3,0.001000000
Melhor,10000,4,0.000000000
Melhor,10000,5,0.001000000
Melhor,10000,6,0.001000000
Melhor,10000,7,0.000000000
Melhor,10000,8,0.001000000
Melhor,10000,9,0.000000000
Melhor,10000,10,0.001000000
Melhor,10000,11,0.000000000
Melhor,10000,12,0.001000000
Melhor,10000,13,0.000000000
Melhor,10000,14,0.001000000
Melhor,10000,15,0.000000000
Caso medio,10000,1,0.001000000
Caso medio,10000,2,0.001000000
Caso medio,10000,3,0.001000000
Caso medio,10000,4,0.001000000
Caso medio,10000,5,0.001000000
Caso medio,10000,6,0.001000000
Caso medio,10000,7,0.001000000
Caso medio,10000,8,0.001000000
Caso medio,10000,9,0.001000000
Caso medio,10000,10,0.001000000
Caso medio,10000,11,0.001000000
Caso medio,10000,12,0.001000000
Caso medio,10000,13,0.001000000
Caso medio,10000,14,0.001000000
Caso medio,10000,15,0.001000000
Pior,10000,1,0.001000000
Pior,10000,2,0.000000000
Pior,10000,3,0.001000000
Pior,10000,4,0.000000000
Pior,10000,5,0.001000000
Pior,10000,6,0.000000000
Pior,10000,7,0.001000000
Pior,10000,8,0.000000000
Pior,10000,9,0.001000000
Pior,10000,10,0.000000000
Pior,10000,11,0.001000000
Pior,10000,12,0.000000000
Pior,10000,13,0.001000000
Pior,10000,14,0.000000000
Pior,10000,15,0.001000000
Melhor,100000,1,0.104000000
Melhor,100000,2,0.104000000
Melhor,100000,3,0.108000000
Melhor,100000,4,0.106000000
Melhor,100000,5,0.104000000
Melhor,100000,6,0.104000000
Melhor,100000,7,0.104000000
Melhor,100000,8,0.104000000
Melhor,100000,9,0.104000000
Melhor,100000,10,0.103000000
Melhor,100000,11,0.103000000
Melhor,100000,12,0.104000000
Melhor,100000,13,0.104000000
Melhor,100000,14,0.105000000
Melhor,100000,15,0.104000000
Caso medio,100000,1,0.108000000
Caso medio,100000,2,0.108000000
Caso medio,100000,3,0.107000000
Caso medio,100000,4,0.107000000
Caso medio,100000,5,0.108000000
Caso medio,100000,6,0.107000000
Caso medio,100000,7,0.108000000
Caso medio,100000,8,0.107000000
Caso medio,100000,9,0.108000000
Caso medio,100000,10,0.108000000
Caso medio,100000,11,0.109000000
Caso medio,100000,12,0.108000000
Caso medio,100000,13,0.108000000
Caso medio,100000,14,0.108000000
Caso medio,100000,15,0.108000000
Pior,100000,1,0.104000000
Pior,100000,2,0.105000000
Pior,100000,3,0.103000000
Pior,100000,4,0.104000000
Pior,100000,5,0.105000000
Pior,100000,6,0.104000000
Pior,100000,7,0.105000000
Pior,100000,8,0.105000000
Pior,100000,9,0.104000000
Pior,100000,10,0.104000000
Pior,100000,11,0.104000000
Pior,100000,12,0.104000000
Pior,100000,13,0.104000000
Pior,100000,14,0.104000000
Pior,100000,15,0.105000000
