Caso,Tamanho,Execucao,Tempo
Melhor,100,1,0.0
Melhor,100,2,0.0
Melhor,100,3,0.0
Melhor,100,4,0.0
Melhor,100,5,0.0
Melhor,100,6,0.0009992122650146484
Melhor,100,7,0.0
Melhor,100,8,0.0
Melhor,100,9,0.0
Melhor,100,10,0.0
Melhor,100,11,0.0
Melhor,100,12,0.0
Melhor,100,13,0.0
Melhor,100,14,0.0
Melhor,100,15,0.00099945068359375
Caso medio,100,1,0.0
Caso medio,100,2,0.0004253387451171875
Caso medio,100,3,0.0
Caso medio,100,4,0.0
Caso medio,100,5,0.0005140304565429688
Caso medio,100,6,0.0
Caso medio,100,7,0.0
Caso medio,100,8,0.0
Caso medio,100,9,0.0
Caso medio,100,10,0.0
Caso medio,100,11,0.0
Caso medio,100,12,0.0009915828704833984
Caso medio,100,13,0.0
Caso medio,100,14,0.0
Caso medio,100,15,0.0
Pior,100,1,0.0
Pior,100,2,0.0
Pior,100,3,0.0
Pior,100,4,0.0
Pior,100,5,0.0
Pior,100,6,0.0009999275207519531
Pior,100,7,0.0
Pior,100,8,0.0
Pior,100,9,0.0
Pior,100,10,0.0
Pior,100,11,0.0
Pior,100,12,0.0
Pior,100,13,0.0
Pior,100,14,0.0010001659393310547
Pior,100,15,0.0
Melhor,10000,1,0.06668734550476074
Melhor,10000,2,0.07046794891357422
Melhor,10000,3,0.07967782020568848
Melhor,10000,4,0.06919074058532715
Melhor,10000,5,0.07023882865905762
Melhor,10000,6,0.07459878921508789
Melhor,10000,7,0.06985592842102051
Melhor,10000,8,0.07509183883666992
Melhor,10000,9,0.07149314880371094
Melhor,10000,10,0.07878494262695312
Melhor,10000,11,0.07336592674255371
Melhor,10000,12,0.06682062149047852
Melhor,10000,13,0.07366156578063965
Melhor,10000,14,0.07662487030029297
Melhor,10000,15,0.0691230297088623
Caso medio,10000,1,0.07381367683410645
Caso medio,10000,2,0.07678985595703125
Caso medio,10000,3,0.07798218727111816
Caso medio,10000,4,0.07597994804382324
Caso medio,10000,5,0.07000875473022461
Caso medio,10000,6,0.07208776473999023
Caso medio,10000,7,0.07356882095336914
Caso medio,10000,8,0.0784616470336914
Caso medio,10000,9,0.07066583633422852
Caso medio,10000,10,0.0711066722869873
Caso medio,10000,11,0.07975268363952637
Caso medio,10000,12,0.08032798767089844
Caso medio,10000,13,0.07841134071350098
Caso medio,10000,14,0.07107019424438477
Caso medio,10000,15,0.07566642761230469
Pior,10000,1,0.0741891860961914
Pior,10000,2,0.07103395462036133
Pior,10000,3,0.07307028770446777
Pior,10000,4,0.07237386703491211
Pior,10000,5,0.07225728034973145
Pior,10000,6,0.07584619522094727
Pior,10000,7,0.07602787017822266
Pior,10000,8,0.07029366493225098
Pior,10000,9,0.07274580001831055
Pior,10000,10,0.07326459884643555
Pior,10000,11,0.07257580757141113
Pior,10000,12,0.07643723487854004
Pior,10000,13,0.07535672187805176
Pior,10000,14,0.06476068496704102
Pior,10000,15,0.08232474327087402
Melhor,100000,1,8.995437383651733
Melhor,100000,2,8.664433002471924
Melhor,100000,3,8.440358400344849
Melhor,100000,4,8.658343076705933
Melhor,100000,5,8.397108554840088
Melhor,100000,6,8.339644432067871
Melhor,100000,7,8.519981145858765
Melhor,100000,8,8.360317945480347
Melhor,100000,9,8.349974632263184
Melhor,100000,10,8.38964581489563
Melhor,100000,11,8.460244417190552
Melhor,100000,12,8.360318183898926
Melhor,100000,13,8.461922883987427
Melhor,100000,14,8.3650381565094
Melhor,100000,15,8.449925422668457
Caso medio,100000,1,8.53035855293274
Caso medio,100000,2,8.529555797576904
Caso medio,100000,3,8.895971298217773
Caso medio,100000,4,8.936615467071533
Caso medio,100000,5,8.874998092651367
Caso medio,100000,6,8.708162069320679
Caso medio,100000,7,8.653703451156616
Caso medio,100000,8,8.691447734832764
Caso medio,100000,9,8.641960144042969
Caso medio,100000,10,8.669792413711548
Caso medio,100000,11,8.635596513748169
Caso medio,100000,12,8.68036937713623
Caso medio,100000,13,8.566793441772461
Caso medio,100000,14,8.604796409606934
Caso medio,100000,15,8.611412048339844
Pior,100000,1,8.586591720581055
Pior,100000,2,8.754483222961426
Pior,100000,3,8.587451219558716
Pior,100000,4,9.132879257202148
Pior,100000,5,8.819677829742432
Pior,100000,6,8.43901252746582
Pior,100000,7,8.63157343864441
Pior,100000,8,8.502798080444336
Pior,100000,9,8.508923292160034
Pior,100000,10,8.654104232788086
Pior,100000,11,9.112837553024292
Pior,100000,12,8.63998007774353
Pior,100000,13,8.745550870895386
Pior,100000,14,8.654992580413818
Pior,100000,15,8.48408317565918
